participant_id,expert_group,age,experience,image,study,dr_score,dmo_score,dr_grade,dmo_grade,time_sec,zoom_1.0,zoom_1.5,zoom_2.25,zoom_3.375,zoom_5.0625,zoom_7.59375,zoom_11.390625,zoom_17.0859375
1676,Optometrist,49,26,007-7235-400_1140x848,thinkaloud,0,4,4,3,9.772590000000037,394,16,41,255,0,0,0,0
1676,Optometrist,49,26,20170502092649506_1140x848,thinkaloud,-1,1,1,0,24.03638000000001,202,9,719,798,0,0,0,0
1676,Optometrist,49,26,20170518171333730_1140x848,thinkaloud,1,1,2,0,13.250979999999913,199,0,0,754,0,0,0,0
1676,Optometrist,49,26,20170519153000176_1140x848,thinkaloud,-1,1,2,0,33.65680000000009,1091,620,198,380,67,0,0,0
1676,Optometrist,49,26,20170521094743135_1140x848,thinkaloud,0,2,2,1,46.243040000000065,858,1202,31,1193,24,0,0,0
1676,Optometrist,49,26,007-0051-000_1140x848,tracking,0,0,0,0,20.196839999999952,1110,69,0,271,0,0,0,0
1676,Optometrist,49,26,007-0079-000_1140x848,tracking,0,0,0,0,28.694090000000074,832,69,62,1021,0,0,0,0
1676,Optometrist,49,26,007-0321-000_1140x848,tracking,1,0,1,0,34.54408999999998,904,211,82,1294,0,0,0,0
1676,Optometrist,49,26,007-1811-100_1140x848,tracking,1,1,2,0,22.49730999999997,983,568,0,72,0,0,0,0
1676,Optometrist,49,26,007-2403-100_1140x848,tracking,1,1,2,0,30.232790000000023,670,674,95,727,0,0,0,0
1676,Optometrist,49,26,007-2705-100_1140x848,tracking,0,1,1,0,20.68148999999994,234,1243,0,10,0,0,0,0
1676,Optometrist,49,26,007-2763-100_1140x848,tracking,1,1,2,0,18.879940000000033,785,304,0,264,0,0,0,0
1676,Optometrist,49,26,007-2841-100_1140x848,tracking,0,1,1,0,16.67578000000003,677,485,0,21,0,0,0,0
1676,Optometrist,49,26,007-4290-200_1140x848,tracking,1,1,3,0,48.27832000000001,921,832,516,1196,0,0,0,0
1676,Optometrist,49,26,007-4991-300_1140x848,tracking,0,2,3,1,42.38965000000002,1832,409,202,398,32,10,40,0
1676,Optometrist,49,26,007-6520-400_1140x848,tracking,0,3,4,2,9.079719999999952,254,394,0,6,0,0,0,0
1676,Optometrist,49,26,007-7017-400_1140x848,tracking,0,3,4,2,4.061520000000087,294,0,0,0,0,0,0,0
1676,Optometrist,49,26,007-7175-400_1140x848,tracking,0,3,4,2,8.316900000000032,510,8,78,5,0,0,0,0
1676,Optometrist,49,26,007-7265-400_1140x848,tracking,0,1,4,0,26.101859999999988,784,997,0,74,0,0,0,0
1676,Optometrist,49,26,20170228231807286_1140x848,tracking,0,0,0,0,23.71771000000001,560,30,67,1048,0,0,0,0
1676,Optometrist,49,26,20170511224838938_1140x848,tracking,0,1,2,0,27.231749999999977,1372,26,329,224,0,0,0,0
1676,Optometrist,49,26,20170512231007763_1140x848,tracking,1,1,4,0,20.76506999999998,611,863,0,21,0,0,0,0
1676,Optometrist,49,26,20170525111826224_1140x848,tracking,0,1,2,0,19.420439999999985,1030,266,7,63,36,0,0,0
1676,Optometrist,49,26,20170609154552424_1140x848,tracking,0,1,1,0,11.810120000000097,685,21,85,52,0,0,0,0
1676,Optometrist,49,26,20170622080837660_1140x848,tracking,0,1,3,0,51.55236000000002,866,2780,0,27,0,0,0,0
1935,Optometrist,33,7,007-0051-000_1140x848,thinkaloud,0,0,0,0,35.625,560,15,1782,214,0,0,0,0
1935,Optometrist,33,7,007-0079-000_1140x848,thinkaloud,1,0,1,0,38.86841000000004,417,110,1419,293,566,0,0,0
1935,Optometrist,33,7,007-0321-000_1140x848,thinkaloud,0,0,0,0,44.302740000000085,648,1363,794,283,46,61,0,0
1935,Optometrist,33,7,007-1811-100_1140x848,thinkaloud,1,1,2,0,45.23144999999977,900,35,2279,49,0,0,0,0
1935,Optometrist,33,7,007-2403-100_1140x848,thinkaloud,1,1,2,0,42.04296999999997,753,40,728,17,1339,108,0,0
1935,Optometrist,33,7,007-2705-100_1140x848,thinkaloud,0,1,1,0,41.16991999999982,284,300,289,522,1576,0,0,0
1935,Optometrist,33,7,007-2763-100_1140x848,thinkaloud,1,2,2,1,59.53687000000036,405,394,2884,273,130,0,0,0
1935,Optometrist,33,7,007-2841-100_1140x848,thinkaloud,1,1,2,0,51.885009999999966,134,169,2094,811,363,172,0,0
